,Class
setosa_1,setosa
setosa_2,setosa
setosa_3,setosa
setosa_4,setosa
setosa_5,setosa
setosa_6,setosa
setosa_7,setosa
setosa_8,setosa
setosa_9,setosa
setosa_10,setosa
setosa_11,setosa
setosa_12,setosa
setosa_13,setosa
setosa_14,setosa
setosa_15,setosa
setosa_16,setosa
setosa_17,setosa
setosa_18,setosa
setosa_19,setosa
setosa_20,setosa
setosa_21,setosa
setosa_22,setosa
setosa_23,setosa
setosa_24,setosa
setosa_25,setosa
setosa_26,setosa
setosa_27,setosa
setosa_28,setosa
setosa_29,setosa
setosa_30,setosa
setosa_31,setosa
setosa_32,setosa
setosa_33,setosa
setosa_34,setosa
setosa_35,setosa
setosa_36,setosa
setosa_37,setosa
setosa_38,setosa
setosa_39,setosa
setosa_40,setosa
setosa_41,setosa
setosa_42,setosa
setosa_43,setosa
setosa_44,setosa
setosa_45,setosa
setosa_46,setosa
setosa_47,setosa
setosa_48,setosa
setosa_49,setosa
setosa_50,setosa
versicolor_51,versicolor
versicolor_52,versicolor
versicolor_53,versicolor
versicolor_54,versicolor
versicolor_55,versicolor
versicolor_56,versicolor
versicolor_57,versicolor
versicolor_58,versicolor
versicolor_59,versicolor
versicolor_60,versicolor
versicolor_61,versicolor
versicolor_62,versicolor
versicolor_63,versicolor
versicolor_64,versicolor
versicolor_65,versicolor
versicolor_66,versicolor
versicolor_67,versicolor
versicolor_68,versicolor
versicolor_69,versicolor
versicolor_70,versicolor
versicolor_71,versicolor
versicolor_72,versicolor
versicolor_73,versicolor
versicolor_74,versicolor
versicolor_75,versicolor
versicolor_76,versicolor
versicolor_77,versicolor
versicolor_78,versicolor
versicolor_79,versicolor
versicolor_80,versicolor
versicolor_81,versicolor
versicolor_82,versicolor
versicolor_83,versicolor
versicolor_84,versicolor
versicolor_85,versicolor
versicolor_86,versicolor
versicolor_87,versicolor
versicolor_88,versicolor
versicolor_89,versicolor
versicolor_90,versicolor
versicolor_91,versicolor
versicolor_92,versicolor
versicolor_93,versicolor
versicolor_94,versicolor
versicolor_95,versicolor
versicolor_96,versicolor
versicolor_97,versicolor
versicolor_98,versicolor
versicolor_99,versicolor
versicolor_100,versicolor
virginica_101,virginica
virginica_102,virginica
virginica_103,virginica
virginica_104,virginica
virginica_105,virginica
virginica_106,virginica
virginica_107,virginica
virginica_108,virginica
virginica_109,virginica
virginica_110,virginica
virginica_111,virginica
virginica_112,virginica
virginica_113,virginica
virginica_114,virginica
virginica_115,virginica
virginica_116,virginica
virginica_117,virginica
virginica_118,virginica
virginica_119,virginica
virginica_120,virginica
virginica_121,virginica
virginica_122,virginica
virginica_123,virginica
virginica_124,virginica
virginica_125,virginica
virginica_126,virginica
virginica_127,virginica
virginica_128,virginica
virginica_129,virginica
virginica_130,virginica
virginica_131,virginica
virginica_132,virginica
virginica_133,virginica
virginica_134,virginica
virginica_135,virginica
virginica_136,virginica
virginica_137,virginica
virginica_138,virginica
virginica_139,virginica
virginica_140,virginica
virginica_141,virginica
virginica_142,virginica
virginica_143,virginica
virginica_144,virginica
virginica_145,virginica
virginica_146,virginica
virginica_147,virginica
virginica_148,virginica
virginica_149,virginica
